"Comment","Designator","Footprint","LCSC Part Number"
"100u","C1,C2,C11,C12","CP_Radial_D6.3mm_P2.50mm","no_part_number"
".01u","C3,C4,C5,C6,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33","C_0805_2012Metric","no_part_number"
"1u","C7,C8","C_1206_3216Metric","no_part_number"
"0.47u","C9,C10","C_1210_3225Metric","no_part_number"
"3.3u","C13,C14,C15,C16,C17,C18","B32522C0335J000","no_part_number"
"MURS320T3G","D1,D2,D3,D4","D_SMC","no_part_number"
"SZMMSZ4679T1G","D5","D_SOD-123","no_part_number"
"USB_A","J1","S_USB_006_M14.8x14.9","no_part_number"
"ATX-24","J2","CONN_442060001_MOL","no_part_number"
"Red Banana Jack","J3","CALTEST_CT3151-2","no_part_number"
"Black Banana Jack","J4","CALTEST_CT3151-2","no_part_number"
"2x6 Pin Header","J5,J6,J9","PMOD","no_part_number"
"CT3151-2","J7,J8","CALTEST_CT3151-2","no_part_number"
"LCD_Conn","J10","1-534237-4","no_part_number"
"10uH","L1,L2,L3,L4","AGP2923-103KL","no_part_number"
"BSS138-7-F","Q1,Q2","SOT-23","no_part_number"
"NPN","Q3","TSOT-23","no_part_number"
"10k","R1,R2,R3,R4,R5,R10,R13,R23","R_0201_0603Metric","no_part_number"
"10","R6,R7,R8,R9","R_1210_3225Metric","no_part_number"
"33k","R11","R_0603_1608Metric","no_part_number"
"3.3k","R12","R_1210_3225Metric","no_part_number"
"20k","R14","R_1206_3216Metric","no_part_number"
"1k","R15,R19,R22","R_0603_1608Metric","no_part_number"
"325","R16,R20","R_0402_1005Metric","no_part_number"
"3.74k","R17,R18","R_0402_1005Metric","no_part_number"
"3.1k","R21","R_1206_3216Metric","no_part_number"
"10","R24,R25","R_1206_3216Metric","no_part_number"
"1K","RV1","3386W-1-102RLF","no_part_number"
"Rotary Switch","SW1","221AMC16R","no_part_number"
"TestPoint","TP1,TP2,TP3,TP4,TP5,TP6","TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","no_part_number"
"IR2181STRPBF","U1,U2","IR2181","no_part_number"
"IPB009N03L G","U3,U4,U5,U6","IPB009N03L","no_part_number"
"Current Sensor","U7","MCA1101-20-5","no_part_number"
"Op Amp","U8","LTC6240IS8TRMPBF","no_part_number"
"L79L05ABD13TR","U9","L79L05ABD13TR","no_part_number"
"SN74LVC2T45DCURE4","U10,U11,U12,U13","SN74LVC2T45DCURE4","no_part_number"
"SN74LV595ARGYR","U14","DHVQFN-16-1EP_2.5x3.5mm_P0.5mm_EP1x2mm","no_part_number"
